Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1766.0345000000002
FDW14,OUT017,1437.8616800000002
NCN55,OUT010,2400.9413799999998
FDQ58,OUT017,2280.4981599999996
FDY38,OUT027,3865.16874
FDH56,OUT046,1350.5753
FDL48,OUT018,756.08248
FDC48,OUT027,1991.8738600000001
FDN33,OUT045,1324.1430400000002
FDA36,OUT017,2906.8828000000003
FDT44,OUT017,1796.5947199999998
FDQ56,OUT045,1826.7554599999999
NCC54,OUT019,3746.72292
FDU11,OUT049,2170.1085199999998
DRL59,OUT013,1025.79806
FDM24,OUT049,1935.34744
FDI57,OUT045,3005.4211999999998
DRC12,OUT018,2953.22248
NCM42,OUT027,2896.4963199999997
FDA46,OUT010,2736.4379999999996
FDA31,OUT013,3541.6565200000005
NCJ31,OUT035,3608.50284
FDG52,OUT046,695.82758
NCL19,OUT019,1052.09716
FDS10,OUT035,3010.68102
FDX22,OUT010,3846.45976
NCF19,OUT035,573.9861800000001
NCE06,OUT046,1590.13014
DRC27,OUT046,2985.51378
FDE21,OUT035,1875.2256999999997
NCR42,OUT019,462.73099999999994
FDX51,OUT018,3549.84586
NCR06,OUT018,751.8879400000001
FDU31,OUT027,4385.7577599999995
FDU59,OUT017,2482.16898
FDR03,OUT027,5499.1750999999995
FDS49,OUT027,2351.07296
FDD48,OUT010,1647.3223600000001
NCF18,OUT017,2720.59196
NCD43,OUT027,2351.80534
NCD54,OUT018,1956.5198800000003
FDY19,OUT010,1616.5624000000003
NCY54,OUT017,2467.98744
NCL19,OUT018,2180.62816
FDP23,OUT010,2648.6855599999994
FDC26,OUT013,2223.57226
FDR14,OUT010,839.10774
NCS41,OUT035,3329.53264
FDF41,OUT035,4383.227720000001
FDU34,OUT046,2164.5158
DRH11,OUT046,700.55476
FDM03,OUT013,2118.44244
FDS31,OUT017,3847.7247800000005
FDJ20,OUT017,2538.3625
FDV44,OUT027,5057.949439999999
FDG02,OUT049,3335.3250999999996
FDA09,OUT013,3413.356860000001
FDT04,OUT013,631.71104
FDL58,OUT019,2790.16806
FDE52,OUT045,1415.8237000000001
FDW12,OUT035,2302.86904
FDL51,OUT017,3822.0248999999994
NCY42,OUT027,3328.86684
FDR07,OUT017,1391.58858
FDN40,OUT045,2388.0248600000004
FDB35,OUT027,2465.9234599999995
FDA22,OUT017,2194.41022
NCL06,OUT046,4104.3906799999995
FDI35,OUT013,5219.60568
NCW42,OUT045,3747.25556
NCX06,OUT049,2261.25654
FDC37,OUT027,2145.2075999999997
FDZ14,OUT018,1913.6423599999998
DRG49,OUT049,3608.9689
NCG06,OUT045,4312.6529199999995
DRC36,OUT045,3675.14942
FDV21,OUT019,1440.5248800000002
FDB53,OUT046,2589.22962
DRP47,OUT019,3516.1563800000004
FDA14,OUT013,2757.47728
DRC24,OUT035,2625.2493999999997
FDW21,OUT018,1550.51504
NCH29,OUT046,1369.6837600000001
FDU58,OUT013,3615.6269
FDY27,OUT017,1843.2673000000002
FDV56,OUT035,1552.77876
FDT59,OUT046,2447.4808
FDB23,OUT046,2958.4823
FDR49,OUT045,591.36356
FDB03,OUT010,2885.37746
FDN39,OUT045,3091.77546
FDX02,OUT027,5735.66726
FDQ16,OUT027,2574.5154400000006
FDU35,OUT018,1640.99726
NCT29,OUT013,3585.9988000000003
FDZ27,OUT046,762.6739
FDN57,OUT017,2666.72874
FDA03,OUT018,2020.0372
FDZ36,OUT045,3068.8719399999995
NCU05,OUT013,1827.0217799999998
FDT39,OUT018,2439.29146
FDK60,OUT017,1803.91852
FDZ25,OUT017,1997.2668399999998
FDG12,OUT046,1836.07666
DRB01,OUT019,1583.20582
NCC43,OUT027,4486.42672
FDX13,OUT019,4756.3420399999995
FDM22,OUT049,894.76862
FDJ03,OUT027,1361.0949399999997
FDU14,OUT018,3823.88914
FDB33,OUT010,2393.35126
FDP27,OUT046,3207.02544
FDO38,OUT010,1010.61782
FDE28,OUT027,5282.25746
